"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58820","Find transactions by Date Range","","Thu Sep 05 23:07:57 SAST 2024","failed","Thu Sep 05 23:08:56 SAST 2024","","Find Transactions on Parabank","Find transactions by Date Range",""
"","36784","User logged in with valid user credentials","","Thu Sep 05 23:06:49 SAST 2024","unknown","Thu Sep 05 23:07:26 SAST 2024","","Pay Bill","User logged in with valid user credentials",""
"","54613","User logged in with valid user credentials","","Thu Sep 05 23:06:50 SAST 2024","unknown","Thu Sep 05 23:07:44 SAST 2024","","Pay Bill","User logged in with valid user credentials",""
"","42290","User logged in with valid user credentials","","Thu Sep 05 23:06:50 SAST 2024","unknown","Thu Sep 05 23:07:32 SAST 2024","","Pay Bill","User logged in with valid user credentials",""
"","31482","User logged in with valid user credentials","","Thu Sep 05 23:06:50 SAST 2024","broken","Thu Sep 05 23:07:21 SAST 2024","","Pay Bill","User logged in with valid user credentials",""
"","36586","Transferring money from one account to another","","Thu Sep 05 23:07:21 SAST 2024","broken","Thu Sep 05 23:07:57 SAST 2024","","Transfer Funds","Transferring money from one account to another",""
"","59951","Update Profile","","Thu Sep 05 23:07:32 SAST 2024","broken","Thu Sep 05 23:08:32 SAST 2024","","Update Profile","Update Profile",""
"","37120","User logged in with valid user credentials","","Thu Sep 05 23:06:50 SAST 2024","broken","Thu Sep 05 23:07:27 SAST 2024","","Pay Bill","User logged in with valid user credentials",""
"","31242","Transferring money from one account to another","","Thu Sep 05 23:07:27 SAST 2024","unknown","Thu Sep 05 23:07:58 SAST 2024","","Transfer Funds","Transferring money from one account to another",""
"","29656","Find transactions by Amount","","Thu Sep 05 23:07:58 SAST 2024","failed","Thu Sep 05 23:08:28 SAST 2024","","Find Transactions on Parabank","Find transactions by Amount",""
"","35624","Transferring money from one account to another","","Thu Sep 05 23:07:27 SAST 2024","unknown","Thu Sep 05 23:08:02 SAST 2024","","Transfer Funds","Transferring money from one account to another",""
"","30470","User logged in with valid user credentials","","Thu Sep 05 23:06:50 SAST 2024","broken","Thu Sep 05 23:07:20 SAST 2024","","Pay Bill","User logged in with valid user credentials",""
"","50897","User logged in with valid user credentials","","Thu Sep 05 23:06:50 SAST 2024","unknown","Thu Sep 05 23:07:40 SAST 2024","","Pay Bill","User logged in with valid user credentials",""
"","72009","Find transactions by Transaction ID","","Thu Sep 05 23:07:44 SAST 2024","failed","Thu Sep 05 23:08:56 SAST 2024","","Find Transactions on Parabank","Find transactions by Transaction ID",""
"","30576","Transferring money from one account to another","","Thu Sep 05 23:07:27 SAST 2024","unknown","Thu Sep 05 23:07:57 SAST 2024","","Transfer Funds","Transferring money from one account to another",""
"","30905","Update Profile","","Thu Sep 05 23:07:27 SAST 2024","unknown","Thu Sep 05 23:07:58 SAST 2024","","Update Profile","Update Profile",""
"","58458","Find transactions by Date Range","","Thu Sep 05 23:07:58 SAST 2024","failed","Thu Sep 05 23:08:56 SAST 2024","","Find Transactions on Parabank","Find transactions by Date Range",""
"","41900","User logged in with valid user credentials","","Thu Sep 05 23:06:50 SAST 2024","unknown","Thu Sep 05 23:07:31 SAST 2024","","Pay Bill","User logged in with valid user credentials",""
"","83262","Overview","","Thu Sep 05 23:07:32 SAST 2024","broken","Thu Sep 05 23:08:55 SAST 2024","","Account Overview","Overview",""
"","43416","Find transactions by Date","","Thu Sep 05 23:07:44 SAST 2024","failed","Thu Sep 05 23:08:28 SAST 2024","","Find Transactions on Parabank","Find transactions by Date",""
"","55008","User with valid credentials","","Thu Sep 05 23:06:49 SAST 2024","broken","Thu Sep 05 23:07:44 SAST 2024","","Login","User with valid credentials",""
"","36636","User logged in with valid user credentials","","Thu Sep 05 23:06:50 SAST 2024","broken","Thu Sep 05 23:07:26 SAST 2024","","Pay Bill","User logged in with valid user credentials",""
"","30780","Find transactions by Date","","Thu Sep 05 23:07:57 SAST 2024","broken","Thu Sep 05 23:08:28 SAST 2024","","Find Transactions on Parabank","Find transactions by Date",""
"","74664","Find transactions by Transaction ID","","Thu Sep 05 23:07:40 SAST 2024","failed","Thu Sep 05 23:08:55 SAST 2024","","Find Transactions on Parabank","Find transactions by Transaction ID",""
"","61940","Find transactions by Amount","","Thu Sep 05 23:08:02 SAST 2024","failed","Thu Sep 05 23:09:04 SAST 2024","","Find Transactions on Parabank","Find transactions by Amount",""
